COD.PROD;PRODUCTO;TOTAL
17423;PAÐAL BABYSEC ULTRA MP XXG -4109-  X14UN;2691,32
78031;JUGO INCA BC PERA SOBRE -          X30GR;2690,75
90492;FLAN SERENITO-432-VAINILLA      2X105GR;2681,33
1186;GALLETA ARCOR HOGAREÐA SALV.-6692-X600GR;2679,98
50088;INSECTICIDA RAID EXTERMINADOR     X360CC;2678,45
1305;GALLETA PINDY SALVADO -           X600GR;2674,34
32044;LECHE POLVO NIDO+NUTRICION S.PACK-X400GR;2670,91
37006;MAQ.AF.PRESTOBARBA ULTRAGRIP C/FIJO X3UN;2670,61
7622;JUGO BAGGIO JUNIOR DURAZNO        X125ML;2666,12
77145;jugo ades anana t.b.                x1lt;2664,28
25218;MAYONESA WILDE SACHET-951836-   X2.755KG;2659,44
90460;MARGARINA DANICA DORADA PAN-873-  X200GR;2658,02
20238;JABON TOC.SUAVE VARIEDAD MIX-     3X90GR;2649,88
25205;mayonesa super ri-k doy pack-9426-x250cc;2644,12
20212;JABON TOC.PLUSBELLE CREM.C/ACEITE-X140GR;2640,45
41502;SHAMPOO SUAVE MIEL Y ALMENDRAS    X930ML;2639,96
1051;GALLETA ARCOR DIVERSION -6805-    X400GR;2635,28
20149;JABON POLVO ACE NAT.AL/MA.REG-9308-X400G;2626,41
